series_title,released_year,genre,imdb_rating,meta_score,gross,imdb_category
The Shawshank Redemption,1994,Drama,9.3,80.0,"28,341,469",Excellent
The Godfather,1972,"Crime, Drama",9.2,100.0,"134,966,411",Excellent
The Dark Knight,2008,"Action, Crime, Drama",9.0,84.0,"534,858,444",Excellent
The Godfather: Part II,1974,"Crime, Drama",9.0,90.0,"57,300,000",Excellent
12 Angry Men,1957,"Crime, Drama",9.0,96.0,"4,360,000",Excellent
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",8.9,94.0,"377,845,905",Excellent
Pulp Fiction,1994,"Crime, Drama",8.9,94.0,"107,928,762",Excellent
Schindler's List,1993,"Biography, Drama, History",8.9,94.0,"96,898,818",Excellent
Inception,2010,"Action, Adventure, Sci-Fi",8.8,74.0,"292,576,195",Excellent
Fight Club,1999,Drama,8.8,66.0,"37,030,102",Excellent
The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",8.8,92.0,"315,544,750",Excellent
Forrest Gump,1994,"Drama, Romance",8.8,82.0,"330,252,182",Excellent
"Il buono, il brutto, il cattivo",1966,Western,8.8,90.0,"6,100,000",Excellent
The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama",8.7,87.0,"342,551,365",Excellent
The Matrix,1999,"Action, Sci-Fi",8.7,73.0,"171,479,930",Excellent
Goodfellas,1990,"Biography, Crime, Drama",8.7,90.0,"46,836,394",Excellent
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",8.7,82.0,"290,475,067",Excellent
One Flew Over the Cuckoo's Nest,1975,Drama,8.7,83.0,"112,000,000",Excellent
Gisaengchung,2019,"Comedy, Drama, Thriller",8.6,96.0,"53,367,844",Excellent
Interstellar,2014,"Adventure, Drama, Sci-Fi",8.6,74.0,"188,020,017",Excellent
Cidade de Deus,2002,"Crime, Drama",8.6,79.0,"7,563,397",Excellent
Sen to Chihiro no kamikakushi,2001,"Animation, Adventure, Family",8.6,96.0,"10,055,859",Excellent
Saving Private Ryan,1998,"Drama, War",8.6,91.0,"216,540,909",Excellent
The Green Mile,1999,"Crime, Drama, Fantasy",8.6,61.0,"136,801,374",Excellent
La vita è bella,1997,"Comedy, Drama, Romance",8.6,59.0,"57,598,247",Excellent
Se7en,1995,"Crime, Drama, Mystery",8.6,65.0,"100,125,643",Excellent
The Silence of the Lambs,1991,"Crime, Drama, Thriller",8.6,85.0,"130,742,922",Excellent
Star Wars,1977,"Action, Adventure, Fantasy",8.6,90.0,"322,740,140",Excellent
Shichinin no samurai,1954,"Action, Adventure, Drama",8.6,98.0,"269,061",Excellent
Joker,2019,"Crime, Drama, Thriller",8.5,59.0,"335,451,311",Good
Whiplash,2014,"Drama, Music",8.5,88.0,"13,092,000",Good
The Intouchables,2011,"Biography, Comedy, Drama",8.5,57.0,"13,182,281",Good
The Prestige,2006,"Drama, Mystery, Sci-Fi",8.5,66.0,"53,089,891",Good
The Departed,2006,"Crime, Drama, Thriller",8.5,85.0,"132,384,315",Good
The Pianist,2002,"Biography, Drama, Music",8.5,85.0,"32,572,577",Good
Gladiator,2000,"Action, Adventure, Drama",8.5,67.0,"187,705,427",Good
American History X,1998,Drama,8.5,62.0,"6,719,864",Good
The Usual Suspects,1995,"Crime, Mystery, Thriller",8.5,77.0,"23,341,568",Good
Léon,1994,"Action, Crime, Drama",8.5,64.0,"19,501,238",Good
